file,max_amp,mean_mag,var_mag,spectral_energy,spectral_centroid,spectral_spread,peak_f1,peak_f2,peak_f3,label
ID3.xlsx,0.1839274336816743,0.00421670453184728,0.00029116787068283036,0.13902681050627927,197.3752169328945,115.77390298032508,198.0,50.0,199.0,-1
ID4.xlsx,0.1343453477602452,0.0034825711641269428,0.00018203217217181876,0.08737221333826228,202.03572456584237,116.61861027173319,199.0,50.0,198.0,-1
ID5.xlsx,0.11447355791460723,0.002926485105312102,0.00011877509056861001,0.05730273253810061,218.37926686947156,110.80136411469417,199.0,198.0,50.0,-1
ID6.xlsx,0.17113030480686575,0.003182698806910701,0.0001519622322151797,0.07294131175981072,243.1059033354943,105.30672388109598,198.0,199.0,248.0,-1
ID7.xlsx,0.13779301661998034,0.003502159181827638,0.00015421176251733797,0.07491459665348892,237.07594017481182,122.10906940872773,198.0,248.0,50.0,-1
ID8.xlsx,0.12318239896558225,0.0035127769817509505,0.00016266676638680897,0.07875286582964774,227.45225561561398,131.8325616615037,49.0,50.0,198.0,-1
ID9.xlsx,0.1574705820530653,0.003970700777192132,0.00022552542924137646,0.1085813522565168,216.40072267562616,126.01138887528506,198.0,49.0,50.0,-1
IDN1.xlsx,0.22922460630070418,0.005590395718236212,0.00032324039366769716,0.15952181307937696,236.69651915323715,129.27305553806133,99.0,100.0,297.0,-1
IDN10.xlsx,0.14620738511439413,0.005511445839130818,0.0002020550371695349,0.10459398258324328,246.29268700805,125.46428551431688,99.0,98.0,296.0,-1
IDN11.xlsx,0.14198121789377183,0.005168582829608643,0.00018782977716001983,0.0965448115319453,256.87071611620524,130.54739433556048,99.0,297.0,446.0,-1
IDN12.xlsx,0.11955124500673264,0.0044065840707323434,0.0001922062270831228,0.09523089461499967,231.49899181589944,134.49091339780884,99.0,98.0,49.0,-1
IDN13.xlsx,0.1346612989436835,0.004096918588651416,0.00013314934082721616,0.06747033723716417,229.92614278339494,120.11543150496004,99.0,98.0,247.0,-1
IDN14.xlsx,0.194835607544519,0.004713283450846638,0.0002094195086563484,0.10423554729496792,210.36859663963472,111.23729565571753,99.0,100.0,98.0,-1
IDN15.xlsx,0.11085346341133118,0.0040377803926539,0.0001171771015504745,0.06006634742239865,223.7924550833376,132.1826656325869,99.0,50.0,49.0,-1
IDN16.xlsx,0.1224753214046359,0.004402497665888639,0.00012206641520415371,0.06365178040603887,234.46000926560745,118.58749993085738,99.0,98.0,296.0,-1
IDN17.xlsx,0.13916291936766356,0.005025646224954272,0.00021911117323123317,0.10996573194433362,226.16745219833396,118.06943424507593,49.0,50.0,247.0,-1
IDN18.xlsx,0.16818485164549202,0.0037858643381443674,0.00013326130560055923,0.06641733347432664,218.05821485490236,119.70248289893645,99.0,98.0,297.0,-1
IDN19.xlsx,0.1762658212101087,0.004801991436980618,0.000262846176731088,0.12865738432136542,203.06093542152024,121.57398581290181,100.0,99.0,49.0,-1
IDN2.xlsx,0.2268399257445708,0.005125925866991307,0.0002772759717561139,0.13659798948750204,214.41196982221746,124.94678828684253,99.0,100.0,98.0,-1
IDN20.xlsx,0.1339830196229741,0.004323160672145616,0.00017280894948311858,0.0861744004561373,229.04521780566563,132.35349090105524,49.0,50.0,297.0,-1
IDN21.xlsx,0.20040819072164595,0.0036704714715401427,0.00019474602758229223,0.09369827478255705,220.4449906047068,121.85369162369753,99.0,98.0,100.0,-1
IDN22.xlsx,0.1861665368778631,0.005684804623793887,0.00029255020109779156,0.14619024211882503,228.86256652372236,132.16353359012146,49.0,50.0,297.0,-1
IDN23.xlsx,0.11929444008274004,0.005007214197204747,0.00018310071603263656,0.09367780952219643,241.65919862138097,131.16762105938494,297.0,50.0,49.0,-1
IDN24.xlsx,0.1414901635143906,0.005111206888983588,0.0001871794782165132,0.09598676133532791,229.76875143356057,128.15667016817653,49.0,50.0,296.0,-1
IDN25.xlsx,0.15048564819153398,0.005049250956682035,0.00017317251227249016,0.08940035137322008,252.7380143984361,124.27711959440525,99.0,98.0,247.0,-1
IDN26.xlsx,0.17749775724951178,0.004690593270122322,0.0002067969259986617,0.10295936605097034,242.84591672196808,122.7233715930036,99.0,98.0,296.0,-1
IDN27.xlsx,0.15750278544146568,0.005130473241056816,0.0002471463041292628,0.12306062691290828,228.53702376229242,135.06446523863332,99.0,49.0,50.0,-1
IDN28.xlsx,0.12170848640380427,0.004139445381932363,0.00011174164666191015,0.0579944946293601,246.61450068245418,108.00188653990432,296.0,297.0,100.0,-1
IDN29.xlsx,0.12017824337817729,0.0028675169828858613,6.830335959033292e-05,0.06887341191372456,239.70982887736375,107.36192124893049,99.0,297.0,199.0,-1
IDN3.xlsx,0.1672449870966375,0.004077510343055085,0.00019073754836353482,0.09331363753256519,237.7030029707744,131.8427030607046,99.0,100.0,248.0,-1
IDN31.xlsx,0.20288363157305866,0.002975885761415695,0.00012819190674052847,0.12334302252497262,210.2275724187989,115.76853702255292,98.5,99.0,49.5,-1
IDN32.xlsx,0.19903302018065006,0.002846441764291049,0.0001130245690113777,0.10901411975599022,207.41633927057484,118.70816046150841,99.0,98.5,100.0,-1
IDN33.xlsx,0.12964564666617662,0.0028636270938663267,8.351251878292624e-05,0.0825415910240864,205.07773354901704,114.00240458079986,49.5,100.0,100.5,-1
IDN34.xlsx,0.11115889356005937,0.00238474861735063,4.8201135830587766e-05,0.048499345618689155,234.402096755687,109.18038305491271,298.0,297.5,99.5,-1
IDN35.xlsx,0.1836236333474517,0.003294331992357908,0.0001251843401123936,0.12243326704943981,221.3407554581552,116.67380208427272,99.0,98.5,296.5,-1
IDN4.xlsx,0.1492136507295072,0.005455765863721466,0.00020687768550249036,0.10648937999800745,233.31767903433752,130.64005879579847,49.0,98.0,99.0,-1
IDN5.xlsx,0.18649881531018764,0.005626392805507684,0.0002845840226657275,0.14230814340041825,235.81757836853174,128.85587472114025,99.0,100.0,49.0,-1
IDN6.xlsx,0.19546244584489614,0.005114556889306411,0.0002999554459598261,0.1467513621602,210.31199634007808,126.67959252037265,99.0,100.0,49.0,-1
IDN7.xlsx,0.10707380715757608,0.004915642609124212,0.0001567667978146928,0.08141865303389863,289.4260701200352,128.7172745251921,446.0,445.0,297.0,-1
IDN8.xlsx,0.10224869038211182,0.004237967566693455,0.00010366360300535885,0.05473078744576701,258.597764670645,111.6514181062503,99.0,296.0,198.0,-1
IDN9.xlsx,0.1174405260826461,0.005209212536484061,0.0001449418373941593,0.07743497968998989,240.7171827413138,120.85968370247424,99.0,98.0,49.0,-1
INN5.xlsx,0.1904928794829175,0.005391384104799594,0.00020983770970481677,0.10750712952163612,238.82728295072832,125.82694270866222,99.0,98.0,100.0,-1
PM 1.xlsx,0.426319835241884,0.008702645061996103,0.001605047093093825,0.7563524058760095,180.3970261864899,98.76555740519392,198.0,197.0,49.0,-1
PM 10.xlsx,0.5558514967560768,0.006212661654514703,0.001076281357886472,0.5016953352239772,162.73496121491496,97.97497078301515,98.0,99.0,97.0,-1
PM 11.xlsx,0.4565063863992691,0.0063571599912570775,0.0008845500030547482,0.41623356879413453,169.57449320457096,102.68184037056558,98.0,99.0,97.0,-1
PM 12.xlsx,0.5225496715866029,0.006669725141817591,0.0010947477172258966,0.5126548278119807,169.17241832214913,92.04008655993555,98.0,99.0,97.0,-1
PM 13.xlsx,0.5139302811585367,0.006132437468433751,0.0010289655195380159,0.47995753897901966,162.53799905618223,94.93230103779707,98.0,99.0,97.0,-1
PM 14.xlsx,0.5924988072365522,0.00796032966162029,0.0016289024398342066,0.7615211796701453,162.08013507800197,92.36425526100192,98.0,99.0,97.0,-1
PM 15.xlsx,0.5526453023776412,0.006724526329871712,0.0013292031265396582,0.6184900714053583,159.1153965299199,87.14705484730028,98.0,99.0,97.0,-1
PM 16.xlsx,0.5925504956394434,0.007523326142582714,0.0015608790858159015,0.7278657849286064,153.48423388871626,92.03517688403264,98.0,99.0,97.0,-1
PM 17.xlsx,0.4499607894103974,0.005893511504634723,0.0007694167242623962,0.3618675909529461,175.95811402731724,100.11117509414457,98.0,99.0,97.0,-1
PM 18.xlsx,0.5777464830316603,0.00755893538931993,0.0014966215513096462,0.6991915749883019,151.76651134168458,89.83986902482673,98.0,99.0,97.0,-1
PM 19.xlsx,0.5865952698513865,0.00736677616326848,0.0013392507371955602,0.6270840577058674,163.13862005745517,89.56617874851503,98.0,99.0,97.0,-1
PM 2.xlsx,0.34199387300759554,0.006470745048792932,0.0007394589925222552,0.35159829030393003,160.55442775311002,97.05744316665763,98.0,99.0,147.0,-1
PM 20.xlsx,0.3134429862257093,0.005187543242553734,0.0003775910358995994,0.18202573835683392,182.0013070757857,102.77856827065366,98.0,99.0,97.0,-1
PM 21.xlsx,0.45427901204675436,0.006910785790049544,0.0009660241844968668,0.456202415129768,170.45292030083633,99.65810330903705,98.0,99.0,97.0,-1
PM 22.xlsx,0.6013606325723231,0.007486435777327315,0.0014783196291195458,0.6904648573954164,162.8037116719761,103.95531152283687,98.0,99.0,97.0,-1
PM 23.xlsx,0.61677151825279,0.00725590091897901,0.0014084690359514598,0.6575027103438749,155.54016986953587,100.27478165444482,98.0,99.0,97.0,-1
PM 24.xlsx,0.4272715304978192,0.006381840476225648,0.0007862618634210522,0.3721453880782699,178.20685589711715,106.59031810436579,98.0,99.0,97.0,-1
PM 25.xlsx,0.5234065465629101,0.006554516545524475,0.0011049460765326894,0.5165584936552096,152.6650974069848,102.16708294111824,98.0,99.0,97.0,-1
PM 26.xlsx,0.5500814295373857,0.00544571670486333,0.0011974528213056141,0.5521988932808587,142.5577779413421,87.98872038341571,98.0,99.0,97.0,-1
PM 27.xlsx,0.5303730722516775,0.0054389470852663395,0.0011429037329735963,0.5276186452664656,144.36355555254792,86.4441413569411,98.0,99.0,97.0,-1
PM 28.xlsx,0.5756254540756345,0.005661684902037908,0.0012377462685886427,0.5714104250333729,154.23703757292157,90.94527451741907,98.0,99.0,97.0,-1
PM 29.xlsx,0.5402060924097896,0.006177146771128881,0.001288647079930792,0.5970618999732871,144.2165395699416,94.66676348387391,98.0,99.0,97.0,-1
PM 3.xlsx,0.5690528196282685,0.006519387497220376,0.001318462051712848,0.6124340092732924,166.3800396457411,95.0036724849154,98.0,99.0,97.0,-1
PM 30.xlsx,0.50676881801337,0.006016701489791363,0.0011725752262060278,0.5439491653604785,159.0724904628818,91.8829811252594,98.0,99.0,97.0,-1
PM 31.xlsx,0.2277976891491562,0.00284662432431008,0.00020646229411278808,0.09655450387044387,166.82879927061882,100.57201817810294,98.0,97.0,99.0,-1
PM 32.xlsx,0.16715770470909774,0.002307599721318196,0.00011394024004352549,0.05366936543280898,165.80286031422943,103.33197741611465,98.0,97.0,99.0,-1
PM 33.xlsx,0.1830774126574397,0.002377883810430347,0.00013284015678434588,0.06232251969011367,159.99677578882861,100.57499704784462,98.0,97.0,100.0,-1
PM 34.xlsx,0.28985278913751245,0.0029645044170341825,0.00032966704615630373,0.1523048996677135,158.85784100945486,101.54865428827176,98.0,97.0,99.0,-1
PM 35.xlsx,0.27722324011847377,0.0031514691741864175,0.00030871262722709204,0.14338997333232265,150.6174114924632,100.3147166866474,98.0,97.0,99.0,-1
PM 36.xlsx,0.2911376068368554,0.003226221107004928,0.00032073231102577106,0.14901336614567479,151.0480085742511,94.26035041772082,98.0,97.0,100.0,-1
PM 37.xlsx,0.28128467965871096,0.00312490623909947,0.0003069778378449336,0.1425342945816434,158.04188687673374,102.89378138379979,98.0,97.0,99.0,-1
PM 38.xlsx,0.25072478456422687,0.0031153845813056444,0.000250506800509896,0.11709558971969983,163.58963098565772,101.32910749260816,98.0,97.0,100.0,-1
PM 39.xlsx,0.26472212630324066,0.0028946091389880912,0.0002743159774603669,0.1272126327875461,153.22026481767543,103.4869771355874,98.0,97.0,100.0,-1
PM 4.xlsx,0.5304176011122763,0.007475539997840268,0.0014809550193360097,0.6915774229178935,155.34838019079325,89.00662603820074,98.0,99.0,100.0,-1
PM 40.xlsx,0.29190638451837003,0.0031698730671648866,0.00033496988072989837,0.15525808919632603,154.4230070620553,98.25690197386123,98.0,97.0,99.0,-1
PM 41.xlsx,0.26700468151830137,0.0027792764065442954,0.0002816700909886132,0.13022751074966415,156.84290024140327,100.37190222947076,98.0,97.0,100.0,-1
PM 42.xlsx,0.27761157252825797,0.003040769958424505,0.00028923735223786504,0.13431763538006491,157.63441829829813,103.80625281963168,98.0,97.0,100.0,-1
PM 43.xlsx,0.2797406632453203,0.00270890841439892,0.00027500271982679474,0.12705340708097818,154.50150939581593,101.91524415221998,98.0,97.0,100.0,-1
PM 44.xlsx,0.2791839651763439,0.002899273765078419,0.00029701947290125763,0.13744136756975836,161.15446131532565,102.11448132517089,98.0,99.0,97.0,-1
PM 45.xlsx,0.2741690259426832,0.0030849910920539075,0.0002828333996519962,0.13155775636052167,161.2687382037403,101.60335687412392,98.0,99.0,97.0,-1
PM 46.xlsx,0.29753040871582925,0.002918447792542578,0.0003125693496842006,0.14448900924089877,155.78552978607146,99.4239304856654,98.0,99.0,97.0,-1
PM 47.xlsx,0.2963332226499915,0.0030178285330414076,0.0003394624082680956,0.15685636379532053,148.46473363526118,97.2870222996174,98.0,99.0,97.0,-1
PM 48.xlsx,0.23894426703918725,0.002690312916438694,0.00023846269654450108,0.1105652160597861,160.48749043045134,100.39299194196518,98.0,97.0,99.0,-1
PM 49.xlsx,0.2872356853913516,0.0029604318915343875,0.00031081623710160105,0.1438111773387067,155.42743592322213,98.11161452774682,98.0,97.0,99.0,-1
PM 5.xlsx,0.5541143473237753,0.0068678034728838116,0.0013660943106512038,0.6359674658370117,160.22014626783937,94.45600101261245,98.0,99.0,97.0,-1
PM 50.xlsx,0.23458353825844824,0.00293371824961117,0.00023108070902316642,0.10785933530607063,164.55476269036188,103.92497358852752,98.0,97.0,99.0,-1
PM 6.xlsx,0.576225807890296,0.006893990575013535,0.001356636948470528,0.6318738245335065,164.77484116973838,91.3356472073493,98.0,99.0,147.0,-1
PM 7.xlsx,0.4640254483092576,0.006481020984143237,0.0009868927810072771,0.4630033863018819,164.74961715696244,105.59738709753914,98.0,99.0,100.0,-1
PM 8.xlsx,0.6089044036343694,0.008070103271467448,0.001645474820440549,0.7697706242637145,162.72111941817906,90.65651506556803,98.0,99.0,97.0,-1
PM 9.xlsx,0.6089007365517318,0.007615263984260091,0.0014389959834053606,0.6736447030298982,160.2626356213861,86.1148520457342,98.0,99.0,97.0,-1
⁯IDN30.xlsx,0.14994300727266818,0.002869454537651303,8.651167653641491e-05,0.0852709012920563,223.23656258349573,114.91576540307096,98.5,99.0,100.0,-1
